Model Name,k,Distance Metric,AUC,F1-Score,Accuracy,Top-K Accuracy
knn_model_cos_resampled,15,cosine,0.9894259564669138,0.8635817549873407,0.8671428571428571,0.9476190476190476
knn_model_cos,15,cosine,0.9651210484788411,0.7853511126873467,0.7903474903474903,0.9459459459459459
knn_model_euc_resampled,14,euclidean,0.970599868158929,0.7559162172851291,0.7814285714285714,0.9095238095238095
knn_model_euc,15,euclidean,0.9520488879922577,0.7460052738534471,0.7543436293436294,0.9009009009009009
